model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet10_1,0,2019-05-16 23:51,30,0.05,cross_entropy,adam,1,0.521,0.7317,16342,4936,0.768,0.6672,0.714,8153,19559,0.7058,0.7985,0.7493
MLPNet10_1,0,2019-05-17 00:01,30,0.0475,cross_entropy,adam,2,0.4691,0.7691,16838,3575,0.8249,0.6874,0.7499,7657,20920,0.7321,0.8541,0.7884
MLPNet10_1,0,2019-05-17 00:11,30,0.045125,cross_entropy,adam,3,0.463,0.7749,17120,3589,0.8267,0.6989,0.7575,7375,20906,0.7392,0.8535,0.7923
MLPNet10_1,0,2019-05-17 00:22,30,0.04286875,cross_entropy,adam,4,0.4588,0.7767,16927,3289,0.8373,0.691,0.7572,7568,21206,0.737,0.8657,0.7962
MLPNet10_1,0,2019-05-17 00:32,30,0.04072531249999999,cross_entropy,adam,5,0.4551,0.781,16977,3125,0.8445,0.6931,0.7614,7518,21370,0.7398,0.8724,0.8006
MLPNet10_1,0,2019-05-17 00:42,30,0.038689046874999994,cross_entropy,adam,6,0.4512,0.784,17100,3105,0.8463,0.6981,0.7651,7395,21390,0.7431,0.8732,0.8029
MLPNet10_1,0,2019-05-17 00:53,30,0.03675459453124999,cross_entropy,adam,7,0.4477,0.7877,17339,3178,0.8451,0.7079,0.7704,7156,21317,0.7487,0.8703,0.8049
MLPNet10_1,0,2019-05-17 01:03,30,0.03491686480468749,cross_entropy,adam,8,0.5044,0.7565,15696,2959,0.8414,0.6408,0.7275,8799,21536,0.7099,0.8792,0.7856
MLPNet10_1,0,2019-05-17 01:13,30,0.03317102156445311,cross_entropy,adam,9,0.5122,0.7436,14642,2421,0.8581,0.5978,0.7047,9853,22074,0.6914,0.9012,0.7825
MLPNet10_1,0,2019-05-17 01:24,30,0.03151247048623045,cross_entropy,adam,10,0.4991,0.7517,14938,2343,0.8644,0.6098,0.7151,9557,22152,0.6986,0.9043,0.7883
MLPNet10_1,0,2019-05-17 01:34,30,0.02993684696191893,cross_entropy,adam,11,0.474,0.7772,16629,2937,0.8499,0.6789,0.7548,7866,21558,0.7327,0.8801,0.7996
MLPNet10_1,0,2019-05-17 01:44,30,0.028440004613822983,cross_entropy,adam,12,0.512,0.7497,14715,2186,0.8707,0.6007,0.7109,9780,22309,0.6952,0.9108,0.7885
MLPNet10_1,0,2019-05-17 01:55,30,0.027018004383131834,cross_entropy,adam,13,0.5902,0.6458,11544,3795,0.7526,0.4713,0.5796,12951,20700,0.6151,0.8451,0.712
MLPNet10_1,0,2019-05-17 02:05,30,0.02566710416397524,cross_entropy,adam,14,0.6937,0.5031,12412,12258,0.5031,0.5067,0.5049,12083,12237,0.5032,0.4996,0.5014
MLPNet10_1,0,2019-05-17 02:15,30,0.024383748955776476,cross_entropy,adam,15,0.694,0.5002,12551,12537,0.5003,0.5124,0.5063,11944,11958,0.5003,0.4882,0.4942
