model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet5Drop_0.2_1,0,2019-05-16 23:51,30,0.05,cross_entropy,adam,1,0.5607,0.7095,16085,5781,0.7356,0.6567,0.6939,8410,18714,0.6899,0.764,0.7251
MLPNet5Drop_0.2_1,0,2019-05-17 00:01,30,0.0475,cross_entropy,adam,2,0.5206,0.7376,15550,3764,0.8051,0.6348,0.7099,8945,20731,0.6986,0.8463,0.7654
MLPNet5Drop_0.2_1,0,2019-05-17 00:12,30,0.045125,cross_entropy,adam,3,0.5153,0.7447,16308,4240,0.7937,0.6658,0.7241,8187,20255,0.7122,0.8269,0.7652
MLPNet5Drop_0.2_1,0,2019-05-17 00:23,30,0.04286875,cross_entropy,adam,4,0.5115,0.7451,15887,3755,0.8088,0.6486,0.7199,8608,20740,0.7067,0.8467,0.7704
MLPNet5Drop_0.2_1,0,2019-05-17 00:34,30,0.04072531249999999,cross_entropy,adam,5,0.5155,0.7423,16127,4162,0.7949,0.6584,0.7202,8368,20333,0.7084,0.8301,0.7645
MLPNet5Drop_0.2_1,0,2019-05-17 00:45,30,0.038689046874999994,cross_entropy,adam,6,0.512,0.7462,16009,3835,0.8067,0.6536,0.7221,8486,20660,0.7088,0.8434,0.7703
MLPNet5Drop_0.2_1,0,2019-05-17 00:55,30,0.03675459453124999,cross_entropy,adam,7,0.5169,0.738,15548,3744,0.8059,0.6347,0.7102,8947,20751,0.6987,0.8472,0.7658
MLPNet5Drop_0.2_1,0,2019-05-17 01:06,30,0.03491686480468749,cross_entropy,adam,8,0.528,0.7392,15296,3397,0.8183,0.6245,0.7083,9199,21098,0.6964,0.8613,0.7701
MLPNet5Drop_0.2_1,0,2019-05-17 01:16,30,0.03317102156445311,cross_entropy,adam,9,0.5262,0.7426,15669,3644,0.8113,0.6397,0.7153,8826,20851,0.7026,0.8512,0.7698
MLPNet5Drop_0.2_1,0,2019-05-17 01:27,30,0.03151247048623045,cross_entropy,adam,10,0.5256,0.7392,15846,4013,0.7979,0.6469,0.7145,8649,20482,0.7031,0.8362,0.7639
MLPNet5Drop_0.2_1,0,2019-05-17 01:37,30,0.02993684696191893,cross_entropy,adam,11,0.5251,0.7442,15496,3369,0.8214,0.6326,0.7148,8999,21126,0.7013,0.8625,0.7736
